Model;File;Language;Time (s);Transcription;Original;WER;CER;SER
medium;Audio_7_1.m4a;pl;2.53;Zgubiłem kluczem, potem je znalazłem w kurce, której w ogóle nie planowałem zakładać. Laptop się zaktualizował w najgorszym momencie, a obiad przypaliłem, bo skrylowałem memy. Dzień jak codzien, ale byle do wieczora.;Zgubiłem klucze, potem je znalazłem w kurtce, której w ogóle nie planowałem zakładać. Laptop się zaktualizował w najgorszym momencie, a obiad przypaliłem, bo scrollowałem memy. Dzień jak co dzień ale byle do wieczora;18.18;4.17;100.0
medium;Audio_4_1.m4a;pl;2.64;Wczoraj po pracy poszedłem z ekipą na pizzę, bo wszyscy mieli już dość siedzenia przed komputerem. Pogadaliśmy o różnych rzeczach. Trochę o projektach, trochę o planach na weekend. Fajnie było się pośmiać i odetchnąć od codziennego stresu.;Wczoraj po pracy poszedłem z ekipą na pizzę, bo wszyscy mieli już dość siedzenia przed komputerem. Pogadaliśmy o różnych rzeczach — trochę o projektach, trochę o planach na weekend. Fajnie było się pośmiać i odetchnąć od codziennego stresu. Potem wróciłem do domu, odpaliłem serial i zanim się zorientowałem, była już prawie północ.;32.69;28.61;75.0
medium;Audio_5_1.m4a;pl;2.57;Od Rena nic mi nie szło. Kawa się rozlała, pendrive z prezentacją zniknął, a internet działał jakby na złość. Mimo to jakoś udało się wszystko ogarnąć przed spotkaniem. Po południu w końcu złapałem trochę luzu i poszedłem na spacer.;Od rana nic mi nie szło. Kawa się rozlała, pendrive z prezentacją zniknął, a internet działał jakby na złość. Mimo to jakoś udało się wszystko ogarnąć przed spotkaniem. Po południu w końcu złapałem trochę luzu i poszedłem na spacer. Świeże powietrze i muzyka w słuchawkach od razu poprawiły mi humor.;24.0;23.33;40.0
large;Audio_1.m4a;pl;158.6;Poranek nad Odrą był chłodny i cichy, a pierwsze promienie słońca nieśmiało przedzielały się przez mgłę unoszącą się nad parkiem szczytnickim w Wrocławiu. Powietrze pachniało wilgotną ziemią i świeżo skoszono trawą z alei przy ulicy Mickiewicza. Ludzie spieszyli się do pracy. Zobaczyli, że w kawie ręki łubasi, Tomek z oczami wypełniony w ekran telefonu, winujący zdążyć na trawę 9. Na ławce pod starym dębem zwanym przez okolicznych dębem Jagiełły siedział pan Marian Kowalski, który karmił gołębie tak jak robił to każdego dnia od wielu lat. Patrzył na przechodniów z lekkim uśmiechem, jakby wiedział coś czego oni jeszcze nie odgryli.;Poranek nad Odrą był chłodny i cichy, a pierwsze promienie słońca nieśmiało przedzierały się przez mgłę unoszącą się nad Parkiem Szczytnickim we Wrocławiu. Powietrze pachniało wilgotną ziemią i świeżo skoszoną trawą z alei przy ul. Mickiewicza. Ludzie spieszyli się do pracy — Anka z kubkiem kawy z „Kawiarenki u Basi”, Tomek z oczami wlepionymi w ekran telefonu, pilnując, by zdążyć na tramwaj linii 9. Na ławce pod starym dębem, zwanym przez okolicznych „Dębem Jagiełły”, siedział pan Marian Kowalski, który karmił gołębie tak, jak robił to każdego dnia od wielu lat. Patrzył na przechodniów z lekkim uśmiechem, jakby wiedział coś, czego oni jeszcze nie odkryli.;25.96;9.64;100.0
large;Audio_10.m4a;pl;81.46;Można z tej rozmowy, którą już nagrywałeś, będzie można zaraz coś wyciąć i... Wygeneruj na przykład ludzkiego tekstu tak 1 akapit. Poranek był chłodny i cichy, a pierwsze promienie słońca nieśmiało przedzierały się przez mgłę unoszącą się nad parkiem. Powietrze pachniało wilgotną zimą i świeża skorupka... Czemu się śmiejesz przed tym?;Może z tej rozmowy, którą już nagrywać będzie można zaraz coś wyciąć i. Wygeneruj na przykład ludzkiego tekstu tak dwa, nie, tak jeden akapit. Poranek był chłodny i cichy, a pierwsze promienie słońca nieśmiało przedzierały się przez mgłę unoszącą się nad parkiem. Powietrze pachniało wilgotną zimą i świeżo. Czemu się śmiejesz przy tym?;18.87;11.9;80.0
large;Audio_11.m4a;pl;182.65;Ona była harcerska głównie z nazwy, ale po prostu harcerstwo miało wtedy przody, w związku z tym wydziadowało od wojska jakąś rozgłośnię, która służyła do zagłuszania wolnej Europy, jakąś radiostację, prawda, i amatorsko tam zrobili. A charakteryzowało się to tym, że troszkę nadawali wiadomości harcerskich, ZHP, a trochę muzyki, jak się wtedy mówiło, big beatu, o którym się w Polsce słyszało, dopiero się pojawiały kasety, nie znam jakie kasety, winyle jakieś pojedyncze, czyli to jak ktoś miał rodziców, którzy przywozili mu z zagranicy, Presley dopiero zaczynał karierę i tak dalej, no i zupełnym przypadkiem w tej rozgłośni wziąłem, że tak powiem, udział, mianowicie praktykantka, która miała tam w szkole lekcje, powiedziała, Tomuś, powiedz gościom wierszyk, Tomuś powiedział wierszyk, powiedziała, bardzo fajnie mówisz, to przyjdź do nas, no i tak się zaczęło. Oczywiście...;"Ona była harcerska głównie z nazwy, ale po prostu harcerstwo miało wtedy przody. W związku z tym wydziadowało od wojska jakąś rozgłośnię, która służyła do zagłuszania Wolnej Europy, jakąś radiostację, prawda? I amatorsko tam zrobili. A charakteryzowało się to tym, że troszkę nadawali wiadomości harcerskich ZHP, a trochę muzyki, jak się wtedy mówiło big bitu, o którym się w Polsce słyszało. Dopiero się pojawiały kase-- nie trzeba tam jakie kasety, winyle jakieś pojedyncze i to jak ktoś miał rodziców, którzy przywozili mu zza granicy. Presley dopiero zaczynał karierę i tak dalej. No i zupełnym przypadkiem w tej rozgłośni wziąłem, że tak powiem, udział. Mianowicie praktykantka, która miała tam w szkole lekcje, powiedziała: ""Tomuś, powiedz gościom wierszyk"". Tomuś powiedział wierszyk. Powiedziała: ""bardzo fajnie mówisz, to przyjdź do nas"". No i tak się zaczęło, yyy, oczywiście.";23.88;5.98;100.0
large;Audio_12.m4a;pl;53.48;Ładna No, no Wczoraj odebrałem Ładny odcień, kość Czcionka Ceylin Rail To jeszcze nic Popatrz Ta jest naprawdę piękna Skorupna jaja, czcionka Rumalien I jak? Ładna;Nowa wizytówka i jak? Ładnaaa, no no. Wczoraj odebrałem. Ładny odcień. Kość. Czcionka Silian Rail. To jeszcze nic, popatrz. Ta jest naprawdę piękna, skorupka jaja, czcionka Romalian i jak? Ładna;56.67;23.71;100.0
large;Audio_2.m4a;pl;41.34;Ej, ej, ej! Słyszysz mnie? Halo? Głośnego muzyka, nie wiem czy mnie słychać, ale jak coś, to nie będzie mi jutro na wykładzie. Daj znać jutro jak tam.;Ej,ej , eeeeeeeeeeeeeeeeeeejjjjjjjjjjjjjjjjjjjjjjj, słyszysz mnie? HALLLLLOOOOOOOOOO Głośno gra muzyka i nie wiem czy mnie słychać ale jak coś to nie będzie mnie jutro na wykładzie. Daj znać jutro jak tam;43.33;34.8;50.0
large;Audio_3.m4a;pl;102.75;Dziś rano to ja zaspałem, bo budzik się nie włączył, wstałem w pośpiechu, zrobiłem sobie szybką kawę i zorientowałem się, że nie mam mleka, więc musiałem pić czarną. Dla szczęścia autobus mi nie uciekł, ale był tak zatłoczony, że przez całą drogę stałem z plecakiem wciśniętym między drzwi jakiegoś gościa z wielkimi słuchawkami. W pracy od razu zaczęły się maile i spotkania, więc zanim się obejrzałem minęło południe.;Dzisiaj rano prawie zaspałem, bo budzik się nie włączył. Wstałem w pośpiechu, zrobiłem sobie szybką kawę i zorientowałem się, że nie mam mleka, więc musiałem pić czarną. Na szczęście autobus mi nie uciekł, ale był tak zatłoczony, że przez całą drogę stałem z plecakiem wciśniętym między drzwi a jakiegoś gościa z wielkimi słuchawkami. W pracy od razu zaczęły się maile i spotkania, więc zanim się obejrzałem, minęło południe.;13.24;4.24;100.0
large;Audio_4.m4a;pl;72.19;Wczoraj po pracy poszedłem z ekipą na pizzę, bo wszyscy mieli już dość siedzenia przed komputerem. Pogadaliśmy o różnych rzeczach. Trochę o projektach, trochę o planach na weekend. Fajnie było się pośmiać i odetchnąć od codziennego stresu.;Wczoraj po pracy poszedłem z ekipą na pizzę, bo wszyscy mieli już dość siedzenia przed komputerem. Pogadaliśmy o różnych rzeczach — trochę o projektach, trochę o planach na weekend. Fajnie było się pośmiać i odetchnąć od codziennego stresu. Potem wróciłem do domu, odpaliłem serial i zanim się zorientowałem, była już prawie północ.;32.69;28.61;75.0
large;Audio_5.m4a;pl;62.97;Od rana nic mi nie szło. Kawa się rozlała, pendlar z prezentacją zniknął, a internet działał jakby na złość. Mimo to jakoś udało się wszystko ogarnąć przed spotkaniem. Po południu w końcu złapałem trochę luzu i poszedłem na spacer.;Od rana nic mi nie szło. Kawa się rozlała, pendrive z prezentacją zniknął, a internet działał jakby na złość. Mimo to jakoś udało się wszystko ogarnąć przed spotkaniem. Po południu w końcu złapałem trochę luzu i poszedłem na spacer. Świeże powietrze i muzyka w słuchawkach od razu poprawiły mi humor.;24.0;24.0;40.0
large;Audio_6.m4a;pl;73.43;Wstałem za późno, kawa się skończyła, telefon odważyłem, autobus rzeczywiście uciekł. W pracy już czekał szef z miną jakby zaraz miał wybuchnąć, więc nawet nie zdążyłem usiąść. Zrobiłem co trzeba, wszystko by nie mieć to już z głowy.;Wstałem za późno, kawa się skończyła, telefon ledwo żyje, a autobus oczywiście uciekł. W pracy już czekał szef z miną jakby zaraz miał wybuchnąć, więc nawet nie zdążyłem usiąść. Zrobiłem, co trzeba, wszystko byle mieć to już z głowy.;17.95;6.44;66.67
large;Audio_7.m4a;pl;65.43;Skupiłem klucze, potem jest noc w kurce, której w ogóle nie planowałem zakładać. Lato się zaktualizował w najgorszym momencie, a obiad przypaliłem, bo oskolowałem memy. Dzień jak codzień, ale tyle do wieczora.;Zgubiłem klucze, potem je znalazłem w kurtce, której w ogóle nie planowałem zakładać. Laptop się zaktualizował w najgorszym momencie, a obiad przypaliłem, bo scrollowałem memy. Dzień jak co dzień ale byle do wieczora;30.3;11.11;100.0
large;Audio_8.m4a;pl;40.01;Poproszę dwa cheeseburgery, dużą kolę i do tego frytki. Ogólnie mówię, że na tą restaurację jest po prostu niesamowita.;Poproszę dwa cheeseburgery, dużą cole i do tego frytki. Ogółem uwielbiam tę restaurację jest po prostu niesamowita.;35.29;14.78;100.0
large;Audio_9.m4a;pl;158.13;to przyrzekam ci, że jak to odpaliłem za pierwszym razem, słuchawki zaczęły mi burczeć, bzy, bzy, bzy, bzy, robić i pojawił się cemdek, który się zaczął wypełniać wiesz, przykrętymi znakami, wiesz, tam z napytania, no takie widać było. Nie, to niemożliwe. I się zamknął i się pojawiła transkrypcja. Obiecuję ci, że tak było. No nie ma szans. Wymyśliłeś sobie. Nie, naprawdę, inaczej bym nie pokazywał ci ekranu. No po co?;Przysięgam ci, że jak to zrobiłem za pierwszym razem. Słuchawki zaczęły mi burczeć, bzz, bzz, bzz, bzz robić i pojawił się, cmdek, który się zaczął wypełniać, wiesz, przeklętymi znakami. Wiesz, tam z napytania takie widać było. Niemożliwe. I się zamknął. I się pojawiła transkrypcja. Obiecuję ci, że tak było. No nie ma szans. Wymyśliłeś sobie. Nie no, prawda. Inaczej nie pokazywał ci ekranu. No po co?;39.39;12.9;100.0
large;Audio_1_1.m4a;pl;201.28;Poranek nad Odrą był chłodny i cichy, a pierwsze promienie słońca nieśmiało przedzierały się przez mgłę unoszącą się nad Parkiem Szczytnickim we Wrocławiu. Powietrze pachniało wilgotną ziemią i świeżo skoszoną trawą z alei przy ulicy Mickiewicza. Ludzie spieszyli się do pracy. Anka z kubkiem kawy, z kawiarenki u Basi, Tomek z oczami wlepionymi w ekran telefonu pilnując, by zdążyć na tramwaj linii 9. Na ławce pod starym dębem, zwanym przez okolicznych dębem jegiełły, siedział pan Marian Kowalski, który karmił gołębie tak, jak robił to każdego dnia od wielu lat. Patrzył na przechodniu z lekkim uśmiechem, jakbyś wiedział coś, czego oni jeszcze nie odkryli.;Poranek nad Odrą był chłodny i cichy, a pierwsze promienie słońca nieśmiało przedzierały się przez mgłę unoszącą się nad Parkiem Szczytnickim we Wrocławiu. Powietrze pachniało wilgotną ziemią i świeżo skoszoną trawą z alei przy ul. Mickiewicza. Ludzie spieszyli się do pracy — Anka z kubkiem kawy z „Kawiarenki u Basi”, Tomek z oczami wlepionymi w ekran telefonu, pilnując, by zdążyć na tramwaj linii 9. Na ławce pod starym dębem, zwanym przez okolicznych „Dębem Jagiełły”, siedział pan Marian Kowalski, który karmił gołębie tak, jak robił to każdego dnia od wielu lat. Patrzył na przechodniów z lekkim uśmiechem, jakby wiedział coś, czego oni jeszcze nie odkryli.;10.58;2.71;83.33
large;Audio_2_1.m4a;pl;56.73;Ej, ej, ej! Słyszysz mnie? Halo! Głośna gra muzyka i nie wiem czy mnie słychać, ale jak coś to nie będzie mnie jutro na wykładzie. Daj znać jutro jak tam.;Ej,ej , eeeeeeeeeeeeeeeeeeejjjjjjjjjjjjjjjjjjjjjjj, słyszysz mnie? HALLLLLOOOOOOOOOO Głośno gra muzyka i nie wiem czy mnie słychać ale jak coś to nie będzie mnie jutro na wykładzie. Daj znać jutro jak tam;26.67;30.88;50.0
large;Audio_3_1.m4a;pl;125.81;Dzisiaj rano prawie zaspałem, bo budzik się nie włączył. Wstałem w pośpiechu, zrobiłem sobie szybką kawę i zorientowałem się, że nie mam mleka, więc musiałem pić czarną. Na szczęście autobus mi nie uciekł, ale był tak zatłoczony, że przez całą drogę stałem z plecakiem wciśniętym między drzwi, a jakiegoś gościa z wielkimi słuchawkami. W pracy od razu zaczęły się maile i spotkania, więc zanim się obejrzałem minęło południe.;Dzisiaj rano prawie zaspałem, bo budzik się nie włączył. Wstałem w pośpiechu, zrobiłem sobie szybką kawę i zorientowałem się, że nie mam mleka, więc musiałem pić czarną. Na szczęście autobus mi nie uciekł, ale był tak zatłoczony, że przez całą drogę stałem z plecakiem wciśniętym między drzwi a jakiegoś gościa z wielkimi słuchawkami. W pracy od razu zaczęły się maile i spotkania, więc zanim się obejrzałem, minęło południe.;2.94;0.47;50.0
large;Audio_8_1.m4a;pl;36.31;Poproszę 2 cheeseburgery, dużą colę i do tego frytki. Ogółem uwielbiam tę restaurację, jest po prostu niesamowita.;Poproszę dwa cheeseburgery, dużą cole i do tego frytki. Ogółem uwielbiam tę restaurację jest po prostu niesamowita.;17.65;4.35;100.0
large;Audio_6_1.m4a;pl;70.24;Wstałem za późno, kawa się skończyła, telefon ledwo żyje, a autobus oczywiście uciekł. W pracy już czekał szef, zmieniałaby zaraz miał wybuchnąć, więc nawet nie zdążyłem usiąść. Zrobiłem co trzeba, wszystko, byle mieć już to z głowy.;Wstałem za późno, kawa się skończyła, telefon ledwo żyje, a autobus oczywiście uciekł. W pracy już czekał szef z miną jakby zaraz miał wybuchnąć, więc nawet nie zdążyłem usiąść. Zrobiłem, co trzeba, wszystko byle mieć to już z głowy.;20.51;6.44;66.67
large;Audio_7_1.m4a;pl;88.11;Zgubiłem klucze, potem je znalazłem w kurce, której w ogóle nie planowałem zakładać. Laptop się zaktualizował w najgorszym momencie, a obiad przypaliłem, bo scrollowałem memy. Dzień jak codzień, ale byle do wieczora.;Zgubiłem klucze, potem je znalazłem w kurtce, której w ogóle nie planowałem zakładać. Laptop się zaktualizował w najgorszym momencie, a obiad przypaliłem, bo scrollowałem memy. Dzień jak co dzień ale byle do wieczora;12.12;1.85;66.67
large;Audio_4_1.m4a;pl;74.53;Wczoraj po pracy poszedłem z ekipą na pizzę, bo wszyscy mieli już dość siedzenia przed komputerem. Pogadaliśmy o różnych rzeczach. Trochę o projektach, trochę o planach na weekend. Fajnie było się pośmiać i odetchnąć od codziennego stresu.;Wczoraj po pracy poszedłem z ekipą na pizzę, bo wszyscy mieli już dość siedzenia przed komputerem. Pogadaliśmy o różnych rzeczach — trochę o projektach, trochę o planach na weekend. Fajnie było się pośmiać i odetchnąć od codziennego stresu. Potem wróciłem do domu, odpaliłem serial i zanim się zorientowałem, była już prawie północ.;32.69;28.61;75.0
large;Audio_5_1.m4a;pl;67.6;Od rena nic mi nie szło. Kawa się rozlała, pendrive z prezentacją zniknął, a internet działał jakby na złość. Mimo to jakoś udało się wszystko ogarnąć przed spotkaniem. Po południu w końcu złapałem trochę luzu i poszedłem na spacer.;Od rana nic mi nie szło. Kawa się rozlała, pendrive z prezentacją zniknął, a internet działał jakby na złość. Mimo to jakoś udało się wszystko ogarnąć przed spotkaniem. Po południu w końcu złapałem trochę luzu i poszedłem na spacer. Świeże powietrze i muzyka w słuchawkach od razu poprawiły mi humor.;24.0;23.0;40.0
